function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
5729;libLLVM-13.so;llvm::ValueHandleBase::ValueIsDeleted(llvm::Value*);;0.01;0;0;0.01;0.01;0.0082722036167979;2;"0,0,0,0,0,0,0,0,0,100";
3927;libmpi.so.12.2.2;MPIR_Progress_hook_exec_all;;0.01;0;0;0.01;0.01;0.0082722036167979;2;"0,100,0,0,0,0,0,0,0,0";
2483;libLLVM-13.so;llvm::AttributeSetNode::get(llvm::LLVMContext&, llvm::AttrBuilder const&);;0.01;0;0;0.01;0.01;0.0082722036167979;2;"0,0,0,0,0,0,0,0,0,100";
2398;libLLVM-13.so;llvm::AttributeList::hasParamAttribute(unsigned int, llvm::Attribute::AttrKind) const;;0.01;0;0;0.01;0.01;0.0082722036167979;2;"0,0,0,0,0,0,0,0,0,100";
282;libigc.so.1.0.1;std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned int const, int> >, unsigned int const&);;0.01;0;0;0.01;0.01;0.0082722036167979;2;"0,0,0,0,0,0,0,0,0,100";
11177;libLLVM-13.so;void std::vector<llvm::WeakTrackingVH, std::allocator<llvm::WeakTrackingVH> >::_M_realloc_insert<llvm::Value*&>(__gnu_cxx::__normal_iterator<llvm::WeakTrackingVH*, std::vector<llvm::WeakTrackingVH, std::allocator<llvm::WeakTrackingVH> > >, llvm::Value*&);;0.01;0;0;0.01;0.01;0.0080848932266235;2;"0,0,0,0,0,0,0,0,0,100";
3612;libc.so.6;__memcmp_evex_movbe;;0.01;0;0;0.01;0.01;0.0080848932266235;2;"0,0,0,0,100,0,0,0,0,0";
231;libgomp.so.1.0.0;gomp_team_start;;0.01;0;0;0.01;0.01;0.0080848932266235;2;"0,0,100,0,0,0,0,0,0,0";
83;libze_loader.so.1.7.15;zeMemGetAllocProperties;;0.01;0;0;0.01;0.01;0.0080848932266235;2;"0,100,0,0,0,0,0,0,0,0";
11326;libLLVM-13.so;llvm::ValueEnumerator::getGlobalBasicBlockID(llvm::BasicBlock const*) const;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
232;libgomp.so.1.0.0;gomp_team_end;;0.01;0;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
11171;libLLVM-13.so;llvm::BitcodeErrorCategory();;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
5725;libLLVM-13.so;llvm::ValueHandleBase::AddToExistingUseList(llvm::ValueHandleBase**);;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
3766;libmpi.so.12.2.2;MPIR_Wait_state;;0.01;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
1583;libfabric.so.1.17.0;sock_pe_progress_rx_ctrl_ctx;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
446;libze_intel_gpu.so.1.3.22992;zetMetricGroupCalculateMultipleMetricValuesExp;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
297;libigc.so.1.0.1;std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Identity, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_before_node(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const;;0.01;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
12553;libLLVM-13.so;llvm::InstructionCombiningPass::runOnFunction(llvm::Function&);;0.01;0;0;0;0;6.2436607549898e-05;2;"0,0,0,0,0,0,0,0,0,100";
